68719476755,120259084296,REACHING_DEF,string text
68719476755,68719476754,REACHING_DEF,string text
68719476755,30064771089,REACHING_DEF,string text
68719476755,128849018885,REACHING_DEF,string text
68719476757,30064771091,REACHING_DEF,INotifier notifier
68719476757,30064771090,REACHING_DEF,INotifier notifier
68719476757,120259084298,REACHING_DEF,INotifier notifier
68719476757,128849018886,REACHING_DEF,INotifier notifier
68719476758,68719476761,REACHING_DEF,"msg = Utilities.Helper.FormatMessage(""WorkerC"", ""Hi there, C here"")"
68719476758,30064771092,REACHING_DEF,"msg = Utilities.Helper.FormatMessage(""WorkerC"", ""Hi there, C here"")"
68719476759,128849018887,REACHING_DEF,Utilities
68719476760,128849018887,REACHING_DEF,System
68719476761,30064771096,REACHING_DEF,msg
68719476761,30064771095,REACHING_DEF,msg
68719476761,128849018887,REACHING_DEF,msg
68719476762,30064771097,REACHING_DEF,_notifier
68719476762,128849018887,REACHING_DEF,_notifier
68719476763,30064771098,REACHING_DEF,this
68719476763,128849018888,REACHING_DEF,this
90194313216,30064771072,REACHING_DEF,"""Manager starting work..."""
90194313217,68719476740,REACHING_DEF,0
90194313217,30064771075,REACHING_DEF,0
90194313218,68719476748,REACHING_DEF,Manager received notification:
90194313218,30064771083,REACHING_DEF,Manager received notification:
90194313219,68719476752,REACHING_DEF,"""All work completed. Press any key to exit."""
90194313219,30064771087,REACHING_DEF,"""All work completed. Press any key to exit."""
90194313220,68719476754,REACHING_DEF,[
90194313220,68719476755,REACHING_DEF,[
90194313220,30064771089,REACHING_DEF,[
90194313221,68719476754,REACHING_DEF,]
90194313221,68719476755,REACHING_DEF,]
90194313221,30064771089,REACHING_DEF,]
90194313222,30064771093,REACHING_DEF,"""WorkerC"""
90194313223,30064771093,REACHING_DEF,"""Hi there, C here"""
90194313224,30064771097,REACHING_DEF,"""WorkerC has finished processing."""
111669149696,115964116992,REACHING_DEF,
111669149696,115964116993,REACHING_DEF,
111669149697,115964116994,REACHING_DEF,
111669149698,68719476739,REACHING_DEF,
111669149698,90194313217,REACHING_DEF,
111669149698,68719476742,REACHING_DEF,
111669149698,68719476745,REACHING_DEF,
111669149698,68719476746,REACHING_DEF,
111669149698,68719476741,REACHING_DEF,
111669149698,68719476744,REACHING_DEF,
111669149698,90194313216,REACHING_DEF,
111669149698,115964116995,REACHING_DEF,
111669149698,68719476736,REACHING_DEF,
